WKT,VILL_NAME,Survey_No,Mandal,District,State
"POLYGON ((75.9085357649176 25.6917838489689,75.9087903510324 25.6916257808321,75.9089759406562 25.6915009738583,75.9090991189205 25.6914183368661,75.9093937388405 25.6912179145059,75.9096834793675 25.6910194640817,75.9096406069689 25.6910028664067,75.9095890028659 25.6909189581476,75.9095485436923 25.6908638808281,75.9094325765004 25.6907253980276,75.9093069699004 25.6905630082082,75.9092483965974 25.6905016361698,75.9092355007049 25.6905076966703,75.9091653583672 25.6904942521607,75.90908019916 25.6904845524768,75.9090531287818 25.6904745695613,75.9089483509331 25.690378396736,75.9088952625921 25.6903289370779,75.9086091814524 25.6904721126149,75.9082706921773 25.6906602605499,75.9077056932183 25.6909308169696,75.9076669361453 25.690978907142,75.9077952429495 25.6911412926327,75.9079493564427 25.6913159169322,75.9080546425386 25.691417976807,75.9080010728837 25.691455820447,75.9079929063948 25.691490128885,75.9081126351583 25.6916270509003,75.9082376638826 25.6917814599089,75.9083441662354 25.6919001639341,75.9085357649176 25.6917838489689))",DEI,"36",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1091889944626 25.7020726432829,76.1092670425451 25.7020429404454,76.109416425971 25.7019787975595,76.1095569182691 25.7019134750213,76.109641216319 25.7018700106088,76.1097185950162 25.7018250146429,76.109776508865 25.7017856200128,76.1097593569261 25.7016952628464,76.1097511494784 25.7016669711751,76.109733686853 25.7015645769572,76.109704338655 25.7014251471127,76.1096726387856 25.7012935306311,76.1096607875432 25.7012585617749,76.1095369784186 25.7012480427504,76.1093649294286 25.7012412027245,76.1093055089782 25.7012447550691,76.1093309543906 25.7009503132286,76.1092585824716 25.7009454290981,76.1091133806147 25.7009571261081,76.1089299843501 25.7009890688994,76.1088324990714 25.7010053946687,76.1088016926498 25.7010790846501,76.1084687227654 25.7011581787214,76.1085145047951 25.7012488743294,76.1085890116064 25.7014351381672,76.1086699722725 25.7016061618911,76.1087227539255 25.7017467996512,76.1087790826258 25.7017340776531,76.1087970015195 25.7017397596,76.1088309764007 25.7017401118473,76.1088455186181 25.7017604383101,76.1089350506237 25.7018925494779,76.1089982411914 25.7019830982108,76.1090152069254 25.7020167420148,76.109067948373 25.702098431578,76.1090852711238 25.7021219181542,76.1091889944626 25.7020726432829))",KARWAR,"2463",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1128443492168 25.7038608149669,76.1130247032578 25.7037867471712,76.1131411044411 25.703757080616,76.11324345183 25.7037159278992,76.1133472805027 25.7036908719322,76.1133383939199 25.7036259916351,76.1133214056816 25.703493406043,76.1133080751935 25.7032991379142,76.1133103615954 25.7032031207388,76.1132318504547 25.703213792223,76.1132101448623 25.7031440328754,76.1131854816141 25.7029841996483,76.113165634229 25.7028650792366,76.1131254777217 25.7026784027087,76.112270823492 25.7028402612249,76.1122812226228 25.70288982921,76.1123038339009 25.7030307595197,76.1122885898355 25.7030845377057,76.1122942809185 25.703101737277,76.1123319677977 25.7031852959552,76.112371261008 25.7032941343931,76.1124024009932 25.7033508071727,76.1124551520252 25.7034529247548,76.1125009574102 25.7035428372086,76.1125707083817 25.7036798904551,76.1126524948796 25.7038488322902,76.1126751327906 25.7039289999314,76.1128443492168 25.7038608149669))",KARWAR,"2483",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1021532868893 25.7125835593167,76.1022568927412 25.7125820471002,76.1023351579019 25.7125839409938,76.1023476278076 25.7125362863947,76.1023853296129 25.7124437883456,76.102390915284 25.7124231631999,76.1024278184686 25.7123437905088,76.102432364107 25.7123236017682,76.1024546849686 25.7122764009277,76.1024763959576 25.7122071679456,76.1024980845709 25.7121501906435,76.1025032746765 25.7121311644001,76.1025084532841 25.7121121817014,76.1025127115119 25.7120896405547,76.1025193479201 25.7120481887694,76.102524113491 25.7120065111987,76.1025260688919 25.7119343986166,76.102526524186 25.7119312572373,76.1025122135535 25.7118896151252,76.1024949890026 25.7118494789042,76.1024757632863 25.711799886849,76.102346152498 25.7115749828736,76.1023411658164 25.7115685943181,76.1023258316523 25.7115679632021,76.1023084932555 25.7115692755945,76.1022597105912 25.711563602369,76.1021982544221 25.7115580865636,76.1021395148574 25.7115518801334,76.1020742818878 25.7115432566005,76.101943945506 25.7115287561441,76.1017913476752 25.7115147882825,76.101636574714 25.7115136572588,76.1015392801069 25.7115210806013,76.1015191535613 25.7115138572911,76.1015285214696 25.7114747415237,76.1015000209479 25.7114698995431,76.1013578293836 25.7114582959886,76.1013160841147 25.711455969406,76.1012656800521 25.7114568586091,76.1012282171356 25.7114588176191,76.1011606826764 25.7114593487593,76.1010973063447 25.7114540065566,76.1010583819594 25.7114526346698,76.1009382292956 25.7114579428419,76.1009090239875 25.7114592334618,76.1008990276326 25.7114596753102,76.1008793641977 25.7114626486236,76.1008597000232 25.7114656226452,76.1007302547572 25.7114788696543,76.1007008018898 25.7114832999519,76.1006960631427 25.7115275154519,76.1006893077954 25.7116163035988,76.1006807587846 25.7116895889816,76.1006828062974 25.7116970023222,76.1006827083143 25.7117012258213,76.1006772131917 25.7117024421004,76.1006311297365 25.7117016370213,76.1005924108103 25.7117037096791,76.1005383230944 25.7117036178961,76.1004789316227 25.711708663695,76.1004278560923 25.7117119171374,76.1003786165072 25.7117113697095,76.1003342925739 25.7117096568753,76.1002807789942 25.7117137036851,76.1002454133496 25.71171457738,76.100212773697 25.7117141220318,76.100184294603 25.7117145341458,76.1001440794034 25.7117175165494,76.1001165462802 25.7117187250725,76.1000877872824 25.7117170077463,76.1000516768956 25.7117188194194,76.100032557845 25.7117220502845,76.0999921919872 25.7117215165511,76.0999793673542 25.7117235856325,76.0999328092047 25.7117284256336,76.0999140696635 25.7117360802634,76.099931206443 25.711889986272,76.0999379573219 25.7119715921199,76.0999368865008 25.712044574692,76.0999473117144 25.7121354834666,76.0999476847576 25.7121387329022,76.1000709874485 25.7121339967956,76.1001396525398 25.7121282401389,76.1002545221508 25.7121221804313,76.1003073183757 25.712119891042,76.1003717256696 25.7121192117283,76.1004026232239 25.7121168464833,76.1004825391495 25.7121187388139,76.1005569030102 25.7121221297218,76.1006545226214 25.7121228883475,76.1007148293203 25.7121270889308,76.1007834170363 25.7121290553346,76.100842944156 25.7121345593707,76.1009926754834 25.7121460268726,76.1010339959004 25.7121504030079,76.101035628946 25.7121873295502,76.1010357096051 25.7122174312847,76.1010462423026 25.7122204479166,76.1011325488157 25.7122084530546,76.1012751695848 25.7121969898316,76.1013446670493 25.7121955795096,76.1014313621586 25.7121916184357,76.1014747807001 25.7121901502162,76.1015090857572 25.7121861178281,76.1015869031011 25.712187744511,76.1017085449693 25.71218737915,76.1017335488291 25.7121857347626,76.1017451758423 25.7122808636722,76.1017575105351 25.7123567356231,76.1017613322335 25.7124094884972,76.101762941517 25.7124989470764,76.1017706617794 25.7125384409637,76.1017736165807 25.7125772257537,76.1017788881964 25.7125851868604,76.1018678082128 25.7125857751033,76.1019719855308 25.7125850243667,76.1020098962617 25.7125874105949,76.1020784833622 25.7125880740684,76.1021532868893 25.7125835593167))",KARWAR,"2251",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1273277510778 25.7170249323678,76.1276128087836 25.7169815214501,76.1277137229829 25.7169596516144,76.1277951200244 25.7169461790358,76.1279494596906 25.7169244326236,76.1280830308356 25.7168995092489,76.128185256622 25.7168852372519,76.1283701114988 25.7168433563741,76.1284473340735 25.7168250954992,76.1283850105881 25.7166900427175,76.1283323148174 25.7166076686938,76.1283175584624 25.7165636973902,76.1282798739998 25.7164361902699,76.1282415295505 25.7163280031403,76.1282397897063 25.7163204638222,76.1282245881648 25.7162546076157,76.1282150423788 25.7162554826681,76.1281264983606 25.7162607184558,76.1278319434669 25.7162755332996,76.1276699694374 25.716281752275,76.1272306099752 25.7162932991641,76.1270327858025 25.7163055245809,76.1269545958825 25.7163127726556,76.1269213739568 25.716315596395,76.1269427987238 25.716372693083,76.126960366954 25.7164158721263,76.1269669550361 25.7164320652183,76.126988360662 25.7165153729437,76.1270164686608 25.7166307069359,76.1270432899643 25.7167803059748,76.127091869369 25.7169919513995,76.1271093192622 25.7170617310066,76.1273277510778 25.7170249323678))",KARWAR,"2635",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1322131607161 25.7225184708746,76.1323085751517 25.7224864214042,76.1322435214639 25.7221889167669,76.1322107391397 25.7219965930204,76.1321891320898 25.72179375995,76.1321652354104 25.7215814962398,76.1321511470621 25.7213677256868,76.1321436568808 25.721217602195,76.1322418930635 25.7211777405364,76.1323407523364 25.7211504069529,76.1325553821375 25.7211049113327,76.1327453502176 25.7210606471872,76.1327639705812 25.7210537305897,76.1327570070837 25.7210307203449,76.1327145598377 25.7208904597947,76.1326132949362 25.7206371807826,76.1325760760605 25.7205512671009,76.1324449669214 25.7204950657651,76.1323034603049 25.7204686496233,76.1322263111771 25.7204617266241,76.1321358900003 25.7204710974057,76.1320739361229 25.7200980144252,76.1319960364996 25.7200640214673,76.1319492660755 25.7200361495717,76.1318459879639 25.719996071709,76.1318282277701 25.7199615076552,76.1317541368468 25.719956462348,76.1316514443234 25.7199609101336,76.1315012073283 25.7199765056679,76.1314105434909 25.719991298792,76.1313407253208 25.7200009983218,76.1313513189323 25.720029882201,76.1313603835176 25.7201146772083,76.1314066031773 25.7207290729521,76.1315139518258 25.7211286849591,76.1315703079653 25.7213219966453,76.1315958209235 25.7214356076019,76.1316037329378 25.7214331825033,76.1316326087721 25.7215680401429,76.1316881725533 25.7218590571008,76.1317064630853 25.7219414503793,76.1317484813815 25.7221644267266,76.1317678077714 25.7222800632559,76.131784115138 25.7223826012542,76.131809222368 25.722535908984,76.1318322111007 25.7226729569862,76.1322131607161 25.7225184708746))",KARWAR,"1573",Nainwa,Bundi,Rajasthan
"POLYGON ((76.0860354576246 25.7242473632408,76.0862375623639 25.7242332335785,76.0863666989486 25.7242016985715,76.0863520922076 25.7241709361944,76.0863615067611 25.7240227036367,76.0863797139968 25.723812235742,76.0863803212034 25.7237944254806,76.0862750146885 25.7237456539557,76.0862220938501 25.7237437869728,76.0861743777336 25.7237421033899,76.0861040015681 25.7237535208562,76.0860353600196 25.7237578619746,76.0860219859991 25.7242485443369,76.0860354576246 25.7242473632408))",KARWAR,"215",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1194648112516 25.726204645164,76.1196478410084 25.7261604380264,76.1197141095872 25.7261471628476,76.1197803774381 25.7261338876314,76.1199471619028 25.7261054410006,76.12004423121 25.7260786217209,76.1200066763924 25.725954537679,76.1199652142147 25.7258104430722,76.119902093248 25.7258138286085,76.1197082114279 25.7258357916451,76.1194789765071 25.7258819337147,76.119278466293 25.7259477650506,76.1192854911606 25.7259617902344,76.1193475513752 25.7260735033721,76.1194188900407 25.7262092260198,76.1194648112516 25.726204645164))",KARWAR,"1774",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1185351605282 25.7263985143609,76.1186736022785 25.7263553905069,76.1187538982197 25.7263112519132,76.1188629120789 25.7262821392793,76.1190736264174 25.7262220177682,76.1192684813882 25.7261701366721,76.1192718049537 25.7261608720604,76.1192778992845 25.7261335511579,76.1192411681983 25.7260429562374,76.1191948935673 25.7259427131834,76.1191416892467 25.7258332999865,76.1191331255291 25.7257844732548,76.1191194744523 25.7257137231491,76.1190941802694 25.7256662467818,76.1190495160521 25.7256040844071,76.1190260483372 25.7255710592374,76.1190084020051 25.725535364662,76.1189903872628 25.7254867226167,76.1189598035785 25.7254292729911,76.1189096310064 25.7254461576804,76.1186873947613 25.7255159817456,76.1185546190216 25.7255695070543,76.1183247529598 25.7256489724625,76.1182914969245 25.7256547708077,76.118282409942 25.725665317367,76.1182751499643 25.7256926708639,76.1182733733335 25.7257051457375,76.1182555383663 25.7257158010434,76.1182189508264 25.7257398299657,76.1183035646676 25.7259488360168,76.1184314860958 25.7262166169981,76.1185065582563 25.7264043430496,76.1185351605282 25.7263985143609))",KARWAR,"1780",Nainwa,Bundi,Rajasthan
"POLYGON ((76.1203093968356 25.7264152592941,76.1204360030737 25.7263924863646,76.1205166127646 25.7263780539628,76.1204794943007 25.7262375817572,76.1204344157614 25.7261011930834,76.1204134220509 25.7260553909939,76.1203941552967 25.7259756471102,76.1203533175169 25.7258296655681,76.1203103340913 25.7256433350242,76.1202723869051 25.7254347927306,76.1202580092166 25.7254363852388,76.1199975512275 25.7254615297796,76.1198472844358 25.7254893540545,76.1195617470804 25.7255292857796,76.1193645667156 25.7255623566244,76.1191384351671 25.7255919568487,76.1191683896986 25.7256673863857,76.1191915269464 25.7257578407983,76.1192180780607 25.7258288615644,76.1192558747028 25.7259026657866,76.119278466293 25.7259477650506,76.1194789765071 25.7258819337147,76.1197082114279 25.7258357916451,76.119902093248 25.7258138286085,76.1199652142147 25.7258104430722,76.1200066763924 25.725954537679,76.12004423121 25.7260786217209,76.1200739164343 25.7261767038569,76.1201452566136 25.7264339542637,76.1201520983542 25.7264489277198,76.1203093968356 25.7264152592941))",KARWAR,"1776",Nainwa,Bundi,Rajasthan
"POLYGON ((75.7541491712265 25.6232349759972,75.7543364183623 25.6231545650866,75.754489435635 25.6230692911582,75.7547546483944 25.6229450828822,75.7549622661887 25.6228383565606,75.7550934251869 25.6227718350528,75.7551515042574 25.6228726907817,75.7552116371369 25.6229771131356,75.7556730311815 25.6227774698183,75.7555257924489 25.6226860954255,75.7554872312485 25.6226208721714,75.7554117438247 25.6225236428588,75.7553710927701 25.6224946167923,75.7553243610919 25.6224649218145,75.7551945880075 25.6224281728376,75.7551502465833 25.622488653949,75.7550734852192 25.6225700295591,75.75500432206 25.6226113823619,75.7549568253766 25.6226303917819,75.7547628598807 25.6227482619732,75.7547352232259 25.6227633904403,75.7545966743017 25.6228392288763,75.7542733784325 25.6230134203473,75.7539738815974 25.6231753169811,75.7540442913329 25.6232833934254,75.7541491712265 25.6232349759972))",Savantgarh,"585",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7551515042574 25.6228726907817,75.7550934251869 25.6227718350528,75.7549622661887 25.6228383565606,75.7547546483944 25.6229450828822,75.754489435635 25.6230692911582,75.7543364183623 25.6231545650866,75.7541491712265 25.6232349759972,75.7540442913329 25.6232833934254,75.754082167298 25.6233415319126,75.7541166705934 25.6233944088837,75.7551515042574 25.6228726907817))",Savantgarh,"586",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7574473994661 25.6240017954402,75.7575848515949 25.6239730371222,75.757725967667 25.623906731612,75.7576223576922 25.6238202998604,75.7574643535464 25.62369170746,75.7573436119461 25.6235778876239,75.7573052286339 25.6235545607742,75.7570961704734 25.6234144808043,75.7568930412525 25.6232957677516,75.7567183306394 25.6231982970264,75.7566556450485 25.6231290943433,75.7565572199734 25.6230269210071,75.7564582307399 25.6229250804602,75.7563589809505 25.622822888763,75.7562721022949 25.6227368347631,75.7561864664204 25.6226518559278,75.7561008193471 25.622567953979,75.7560189229733 25.6224851255178,75.7559371745982 25.6224022164025,75.7558573202792 25.6223189581925,75.7557774480286 25.6222367799647,75.7557025702751 25.6221546091481,75.7556675832679 25.6221152758674,75.7554681549757 25.6222422576863,75.7553967235476 25.6222908021286,75.7551945880075 25.6224281728376,75.7553243610919 25.6224649218145,75.7553710927701 25.6224946167923,75.7554117438247 25.6225236428588,75.7554872312485 25.6226208721714,75.7555257924489 25.6226860954255,75.7556730311815 25.6227774698183,75.7558446591516 25.622883440038,75.7559287639015 25.6229697854588,75.7559446229811 25.6229860676838,75.756034254765 25.623114632473,75.7560714195725 25.6231880803942,75.7561039182763 25.6232571329838,75.7562453123432 25.6235672653337,75.7563595828192 25.6237410095407,75.7566358891873 25.6236152233896,75.7568912250101 25.6234928976205,75.757015645262 25.6234294210824,75.7571929420167 25.6236632391682,75.7572614695554 25.623762181158,75.7574325805789 25.6240092322963,75.7574473994661 25.6240017954402))",Savantgarh,"589",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7447702074318 25.6274984049059,75.7448416820646 25.6274755755437,75.7449274465392 25.6274476406518,75.7450124287554 25.6274196816197,75.7450948275824 25.6273915202145,75.7451165381515 25.6273838692469,75.7451761992467 25.6273628445967,75.7452573165449 25.6273341733323,75.7453382001764 25.6273045818631,75.7454178326427 25.6272743192827,75.745497465082 25.6272440557936,75.745577584472 25.6272147089036,75.745657947319 25.6271858198579,75.7457382943784 25.6271576237645,75.7458184284626 25.6271275829039,75.7458973508961 25.6270950209626,75.7458378971748 25.6269526311957,75.7447258457521 25.6273345057272,75.7447062975038 25.6273406148835,75.7447191769389 25.6273881702409,75.7447507036545 25.6275046339249,75.7447702074318 25.6274984049059))",Savantgarh,1326/508,Hindoli,Bundi,Rajasthan
"POLYGON ((75.7500845186501 25.6344914910118,75.7500581525619 25.634388376973,75.7500200621425 25.6342807435612,75.7499807380642 25.6341725501846,75.7499370979528 25.6340610465382,75.749895895155 25.6339673686286,75.7498863018353 25.6339421695068,75.7498691179738 25.6338970292061,75.7498577923638 25.6338672788058,75.7498147556844 25.6337633296641,75.7498019442328 25.6337380813472,75.7497413865768 25.6337588520476,75.7494922053342 25.6338387540075,75.7495234376625 25.6339477119229,75.749531730721 25.6339767353673,75.7495354321423 25.6339881323196,75.7495764298632 25.6341143815628,75.7496045448768 25.6342372390036,75.7496052305613 25.6342715191619,75.7496374051793 25.6343318229398,75.7496758154099 25.6344034264231,75.7497554335755 25.6344306064615,75.7498653151816 25.634491370308,75.7499932329828 25.6345593448089,75.7500693146253 25.6345958845154,75.750108836293 25.6345981726016,75.7500845186501 25.6344914910118))",Savantgarh,"162",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7541649795841 25.6392231883036,75.7543900804138 25.639126194688,75.7545287370423 25.6390588773369,75.7546346079091 25.6390063165508,75.7545969120469 25.6389371040283,75.7545621059838 25.6388486276843,75.7545052850463 25.6387155818527,75.7544450901946 25.6385791014942,75.7544373885919 25.6385530941764,75.7544067563859 25.6384917201294,75.7543902616131 25.6384638244014,75.7542823250752 25.6385066258252,75.7541782684388 25.63854082406,75.7540281728698 25.6385901778706,75.7538822470451 25.638630242438,75.7538050134492 25.6386554734525,75.7536880197255 25.6386915988501,75.7536022583539 25.6386319492196,75.7534902390354 25.6386540829937,75.7535300931919 25.6387354904954,75.7535519138312 25.6387800637035,75.7536084483933 25.6388883770828,75.7537098210809 25.6390952411148,75.7537480619889 25.639144112174,75.7538454197162 25.6393109355089,75.7538710503032 25.6393588698437,75.7541649795841 25.6392231883036))",Savantgarh,"213",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7541850528336 25.6397324819877,75.7545646568566 25.6396386194537,75.7548579915536 25.6395515168572,75.7549623449248 25.6395125075479,75.7549382928356 25.6394041359181,75.7549262202414 25.6393702175566,75.7548891001526 25.6392658220841,75.7548532388894 25.6391856583717,75.7547603869578 25.6392212044113,75.7546901036844 25.639108213608,75.7546346079091 25.6390063165508,75.7545287370423 25.6390588773369,75.7543900804138 25.639126194688,75.7541649795841 25.6392231883036,75.7538710503032 25.6393588698437,75.7538990643272 25.639411261804,75.7539896304508 25.6395748668888,75.7540353656941 25.6396865093408,75.7540411739553 25.6396824780806,75.7540714249001 25.6397640817625,75.7541850528336 25.6397324819877))",Savantgarh,"212",Hindoli,Bundi,Rajasthan
"POLYGON ((75.7545648258419 25.6407013440637,75.7545888635658 25.6406422568829,75.7546304270372 25.640610835191,75.7546937490553 25.6405895923951,75.7546882696331 25.6405684809894,75.7546279809438 25.6405542881872,75.7545563445185 25.6405354679343,75.7545392019402 25.6405085876136,75.7545289793816 25.640453148626,75.7545271884621 25.6403151231715,75.7545349341424 25.6402810165825,75.7546777345266 25.640195678574,75.7548467104968 25.6401264570357,75.7549726393116 25.6400916062772,75.7550460120601 25.6400542402295,75.7550872314587 25.6400364896475,75.7551618707603 25.6400616620404,75.7553200175177 25.6401707699589,75.7554451491028 25.6402029062508,75.7555235748025 25.6402441053129,75.7555907668294 25.6402466016901,75.7557089747746 25.6402349991567,75.7557608980249 25.640217399591,75.755768375732 25.640199010497,75.7557758840064 25.6401312649159,75.7557670265315 25.6400892812915,75.7557539531229 25.6400459927307,75.755752353704 25.640026165164,75.7557855506177 25.6399812147209,75.7557861124153 25.6399674159395,75.7557690840252 25.639898173212,75.7557312164314 25.6398581743171,75.7556467228106 25.6398129454197,75.7556219703304 25.639811687855,75.7555993616867 25.6397890732379,75.7555784028313 25.6397217635069,75.7555687491873 25.6396670810014,75.7555893943534 25.6396319286366,75.7555942955767 25.6395718520847,75.7559227652321 25.6394712651942,75.7560854158575 25.6393904654102,75.7561724520709 25.639326928208,75.7561866963569 25.6392876953127,75.7561170017968 25.6391973015742,75.7560601452481 25.6392143274029,75.7558448534103 25.6392698194918,75.7556264292209 25.6393192400524,75.7555600417036 25.6393279599845,75.7555355355714 25.6393352111777,75.755514926768 25.6393319662103,75.7554868254393 25.6392406874229,75.7554861954382 25.6392376449199,75.7554156984372 25.6392497373506,75.7551955515086 25.6393056905578,75.7549262202414 25.6393702175566,75.7549382928356 25.6394041359181,75.7549623449248 25.6395125075479,75.7548579915536 25.6395515168572,75.7545646568566 25.6396386194537,75.7541850528336 25.6397324819877,75.7540714249001 25.6397640817625,75.7540411739553 25.6396824780806,75.7540353656941 25.6396865093408,75.7538790124565 25.639795045146,75.7540543684224 25.6400268956016,75.7543483954188 25.6404271519842,75.7545148490175 25.6406543008059,75.7545627588288 25.6407142168942,75.7545648258419 25.6407013440637))",Savantgarh,"211",Hindoli,Bundi,Rajasthan
"POLYGON ((75.9198686920408 25.8045349680135,75.9203580802888 25.804350379938,75.9204956452317 25.8043002339874,75.9204735074521 25.8041944393225,75.9204743644439 25.8040925976066,75.920543680323 25.8040151983495,75.9205323778514 25.8038873555356,75.9205027336736 25.8036588566843,75.92047964595 25.8035192122778,75.9203809178657 25.8031535748582,75.9202577716797 25.8027482719068,75.9204580451775 25.8026821849603,75.9204065195453 25.8023723506507,75.9202991421391 25.8018526990697,75.9197764751493 25.8019557400879,75.9192165617275 25.8020551515438,75.9190695601563 25.8020764487686,75.9190938224785 25.8021226238661,75.919186753561 25.8023621804833,75.9192109292852 25.8023964366004,75.9192334415002 25.8024406124871,75.9193027284522 25.8026130685524,75.9194282839999 25.8029605225536,75.9193127152513 25.8030036990631,75.9189389441105 25.8031395621813,75.9191911343316 25.8038868935721,75.91928485867 25.8041352239537,75.9194695429261 25.8046668325059,75.9198686920408 25.8045349680135))",Bambuli,"1019",Nainwa,Bundi,Rajasthan
"POLYGON ((75.9368367444768 25.8135474233823,75.9371100561287 25.813500873683,75.9374187968986 25.8134597260395,75.9371596919679 25.8124252964673,75.9370535081016 25.8124455391079,75.9368359661258 25.8124743450593,75.9366032265167 25.812512632147,75.9364079716991 25.8125463920464,75.9362789299018 25.812550733633,75.9362985008966 25.8129965593748,75.9362956501601 25.813058277945,75.9363937140491 25.8133127208406,75.9364702838186 25.8135152936119,75.9366033647466 25.8135174324769,75.9366379254913 25.813587346253,75.9368367444768 25.8135474233823))",Bambuli,1234/253,Nainwa,Bundi,Rajasthan
"POLYGON ((75.9176349403968 25.8177986996211,75.9177693125547 25.8177897800914,75.9179724058005 25.8177692443982,75.9184212084038 25.8177509360981,75.9185764536643 25.8177427346353,75.9185670264947 25.8174017067003,75.9185604270197 25.8172907940722,75.9186584607365 25.8172643264067,75.9186923271794 25.8172423292644,75.9186877306094 25.8171412345937,75.918181884718 25.81717018638,75.9175951844043 25.8172037635564,75.9175748901319 25.8173591969947,75.9175838759584 25.8176279872103,75.9176072111624 25.8177615592493,75.9176058408196 25.8178013199189,75.9176349403968 25.8177986996211))",Bambuli,"92",Nainwa,Bundi,Rajasthan
